Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
start_strategic_bombardment_title;Begin Strategic Bombardment;;;;;;;;;;;;;
start_strategic_bombardment_desc;Perhaps bombing the enemy's cities will help us win the war?;;;;;;;;;;;;;
end_strategic_bombardment_title;End Strategic Bombardment;;;;;;;;;;;;;
end_strategic_bombardment_desc;We no longer can or want to maintain our strategic bombers.;;;;;;;;;;;;;
blow_yellow_river_dikes_title;Blow the Yellow River Dikes!;;;;;;;;;;;;;
blow_yellow_river_dikes_desc;If we were to destroy the dikes along the Yellow River and cause an artifical flood, perhaps we can slow down the Japanese advance.;;;;;;;;;;;;;
move_capital_to_nanking_ming_title;Move Capital to Nanjing;;;;;;;;;;;;;
move_capital_to_nanking_ming_desc;We can move our capital back to its rightful place in Nanjing.;;;;;;;;;;;;;
revoke_sino_portuguese_treaty_ming_title;Revoke the $CAPITAL$ Treaty over Macao;;;;;;;;;;;;;
revoke_sino_portuguese_treaty_ming_desc;The $CAPITAL$ Treaty of Friendship and Commerce, signed years ago over Macao, is no longer valid. Not only the country that proposed it breached its terms, their interpretation of the treaty is completely wrong. They argue that we agreed to "perpetual occupation and government" by them were no such thing would ever be done for chinese territory by the Chinese.;;;;;;;;;;;;;
inherit_ryukyu_china_title;Inherit Ryukyu;;;;;;;;;;;;;
inherit_ryukyu_china_desc;The islands of Ryukyu have always had blood ties to both China and Japan. They must be brought into the fold with the rest of our nation.;;;;;;;;;;;;;
substate_adopt_tech_ming_title;Give Tech to Our Substates;;;;;;;;;;;;;
substate_adopt_tech_ming_desc;Sharing our reforms with our substates will benefit us all.;;;;;;;;;;;;;
become_china_ming_title;Become China;;;;;;;;;;;;;
become_china_ming_desc;We should reform our government to better administer the vast lands of China. I mean, it is literally the current year, your imperial majesty.;;;;;;;;;;;;;
prevent_warlord_era_title;Bring Generals Under Control;;;;;;;;;;;;;
prevent_warlord_era_desc;By dismissing disloyal governors and generals who are gathering too much power, we can prevent potential revolts and better centralize our nation. It will take a few years before our administration can find replacements for everyone, however. Our current puppets will remain as puppets, they won't be annexed even if we were to centralize further.;;;;;;;;;;;;;
kongsi_ming_title;Expand Branch Offices;;;;;;;;;;;;;
kongsi_ming_desc;Singapore and Lanfang historically have had heavy Chinese Kongsi and Triad influence, we should expand our business (crime) empire to encompass them.;;;;;;;;;;;;;
