Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
local_intensive_agriculture;Local Intensive Agriculture;;;;;;;;;;;;;
local_intensive_agriculture_desc;The farmers in this province are using intensive agricultural techniques.;;;;;;;;;;;;;
local_modern_transportation;Local Modern Transportation;;;;;;;;;;;;;
local_modern_transportation_desc;This province has excellent transportation links by land, by air, and by water.;;;;;;;;;;;;;
local_pollution_problem;Local Pollution Problem;;;;;;;;;;;;;
local_pollution_problem_desc;This province has a pollution problem;;;;;;;;;;;;;
clean_air_act;Clean Air Act;;;;;;;;;;;;;
clean_air_act_desc;Our country has laws regulating factory pollution.;;;;;;;;;;;;;
strat_bombers;Strategic Bombers;;;;;;;;;;;;;
strat_bombers_desc;Our country is maintaing a strategic bomber force.;;;;;;;;;;;;;
bomb_damage;Damage from Strategic Bombing;;;;;;;;;;;;;
bomb_damage_desc;This province has recently been damaged by enemy bombers.;;;;;;;;;;;;;
small_refund;Small tax refund;;;;;;;;;;;;;
small_refund_desc;Our treasury is getting full.;;;;;;;;;;;;;
medium_refund;Medium tax refund;;;;;;;;;;;;;
medium_refund_desc;Our treasury is getting very full.;;;;;;;;;;;;;
large_refund;Large tax refund;;;;;;;;;;;;;
large_refund_desc;Our treasury is getting super full.;;;;;;;;;;;;;
literate_nation;Literate Nation;;;;;;;;;;;;;
literate_nation_desc;Our nation is very literate.;;;;;;;;;;;;;
clerked_nation;Clerked Nation 1;;;;;;;;;;;;;
clerked_nation_desc;Our nation has >5% clerks.;;;;;;;;;;;;;
clerked_nation_2;Clerked Nation 2;;;;;;;;;;;;;
clerked_nation_2_desc;Our nation has >10% clerks.;;;;;;;;;;;;;
clerked_nation_3;Clerked Nation 1;;;;;;;;;;;;;
clerked_nation_3_desc;Our nation has >15% clerks.;;;;;;;;;;;;;
clerked_nation_4;Clerked Nation 1;;;;;;;;;;;;;
clerked_nation_4_desc;Our nation has >20% clerks.;;;;;;;;;;;;;
