Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
local_intensive_agriculture;Local Intensive Agriculture;;;;;;;;;;;;;
local_modern_transportation;Local Modern Transportation;;;;;;;;;;;;;
local_pollution_problem;Local Pollution Problem;;;;;;;;;;;;;
clean_air_act;Clean Air Act;;;;;;;;;;;;;
clean_air_act_desc;Our country has laws regulating factory pollution.;;;;;;;;;;;;;
strat_bombers;Strategic Bombers;;;;;;;;;;;;;
strat_bombers_desc;Our country is maintaing a strategic bomber force.;;;;;;;;;;;;;
bomb_damage;Damage from Strategic Bombing;;;;;;;;;;;;;
small_refund;Small tax refund;;;;;;;;;;;;;
large_refund;Large tax refund;;;;;;;;;;;;;
literate_nation;Literate Nation;;;;;;;;;;;;;
clerked_nation;Clerked Nation 1;;;;;;;;;;;;;
clerked_nation_2;Clerked Nation 2;;;;;;;;;;;;;
clerked_nation_3;Clerked Nation 1;;;;;;;;;;;;;
clerked_nation_4;Clerked Nation 1;;;;;;;;;;;;;
communist_peace_summit;Communist Summit;;;;;;;;;;;;;
communist_peace_summit_desc;We have recently held a Communist International.;;;;;;;;;;;;;
large_oil_field;Large Oil Fields;;;;;;;;;;;;;
