Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
army_doctrine_7;Combined Arms;;;;;;;;;;;;;
army_doctrine_7_desc;Field manuals provide authoritative statements on how military forces conduct operations;;;;;;;;;;;;;
light_armament_7;Semi Automatic Service Rifles;;;;;;;;;;;;;
light_armament_7_desc;The M1 Garand, introduced in 1937 was the first semi automatic service rifle;;;;;;;;;;;;;
heavy_armament_7;Armored Fighting Vehicles;;;;;;;;;;;;;
heavy_armament_7_desc;The StuG III was introduced in 1940;;;;;;;;;;;;;
military_science_7;Army Mechanization;;;;;;;;;;;;;
military_science_7_desc;Improvements in aircraft design and doctrine make battlefields three dimentional;;;;;;;;;;;;;
army_leadership_7;Operational Planning;;;;;;;;;;;;;
army_leadership_7_desc;new tech, new war;;;;;;;;;;;;;
financial_institutions_7;Financial Regulations;;;;;;;;;;;;;
financial_institutions_7_desc;After the Great Depression, many countries significantly increased financial regulations;;;;;;;;;;;;;
monetary_system_7;Fiat Money;;;;;;;;;;;;;
monetary_system_7_desc;How the fuck is money even real lmao;;;;;;;;;;;;;
economic_thought_and_critique_7;Neoclassical Synthesis;;;;;;;;;;;;;
economic_thought_and_critique_7_desc;It's Keynes but better;;;;;;;;;;;;;
market_functionality_7;Econometrics;;;;;;;;;;;;;
market_functionality_7_desc;In the 1930s, Norwegian economist Ragnar Frisch and Dutch economist Jan Tinbergen pioneered Econometrics, the application of statistical methods to economic data in order to give empirical content to economic relationships;;;;;;;;;;;;;
tech_organization_7;Lean Manufacturing;;;;;;;;;;;;;
tech_organization_7_desc;Lean manufacturing, or lean production, is a production method derived from Toyota's 1930 operating model The Toyota Way. Womack and Jones define Lean as ...a way to do more and more with less and less - less human effort, less equipment, less time, and less space;;;;;;;;;;;;;
aesthetics_7;Modern Art;;;;;;;;;;;;;
aesthetics_7_desc;what, 2deep4u?;;;;;;;;;;;;;
philosophy_7;Existentialism;;;;;;;;;;;;;
philosophy_7_desc;3deep5me;;;;;;;;;;;;;
social_thought_7;Structuralism;;;;;;;;;;;;;
