Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
pacific_islands_cb;Acquire Pacific Islands;;;;;;;;;;;;;
pacific_islands_cb_desc;Acquire minor islands in the Pacific from the enemy.;;;;;;;;;;;;;
pacific_islands_cb_short;Acquire $STATE$;;;;;;;;;;;;;
pacific_islands_cb_setup;Acquire $STATE$ from $RECIPIENT$.;;;;;;;;;;;;;
AGRESSION_CIVIL_WAR_NAME_QNG_RTR;$ORDER$Red Turban Rebellion;;;;;;;;;;;;;
NORMAL_CIVIL_WAR_NAME_QNG_RTR;$ORDER$Red Turban Rebellion;;;;;;;;;;;;;
AGRESSION_CIVIL_WAR_NAME_QNG_MAO;$ORDER$Miao Rebellion;;;;;;;;;;;;;
NORMAL_CIVIL_WAR_NAME_QNG_MAO;$ORDER$Miao Rebellion;;;;;;;;;;;;;
make_puppet_no_infamy;Make puppet;;;;;;;;;;;;;
make_puppet_no_infamy_short;$RECIPIENT$ becomes a puppet of $ACTOR$;;;;;;;;;;;;;
make_puppet_no_infamy_setup;$RECIPIENT$ becomes a puppet of $ACTOR$;;;;;;;;;;;;;
make_puppet_no_infamy_desc;Become a puppet;;;;;;;;;;;;;
demand_concession_casus_belli_no_infamy;Demand Concession;Demande de concession;Konzession verlangen;;;;;;;;;;;
demand_concession_casus_belli_no_infamy_desc;Force an 即uncivilized country劬 to secede territory to form a colonial concession.;;;;;;;;;;;;;
demand_concession_casus_belli_no_infamy_setup;Demand that $RECIPIENT$ secede territory to form a colonial concession.;;;;;;;;;;;;;
demand_concession_casus_belli_no_infamy_short;Demand $STATE$;;;;;;;;;;;;;
install_theocracy_no_infamy;Install Theocracy;;;;;;;;;;;;;
install_theocracy_no_infamy_desc;Install a 即friendly theocratic government劬 in the country's capital;Install a 即friendly theocratic government劬 in the country's capital;Install a 即friendly theocratic government劬 in the country's capital;;;;;;;;;;;
install_theocracy_no_infamy_short;Install a theocratic government in $RECIPIENT$;Install a theocratic government in $RECIPIENT$;Install a theocratic government in $RECIPIENT$;;;;;;;;;;;
install_theocracy_no_infamy_setup;Install a theocratic government in $RECIPIENT$;Install a theocratic government in $RECIPIENT$;Install a theocratic government in $RECIPIENT$;;;;;;;;;;;
